ableclothing.com: courtlistener 29, propublica 32
aliexpress.com: courtlistener 3, propublica 0
avocadogreenmattress.com: courtlistener 0, propublica 1
azurestandard.com: courtlistener 0, propublica 3
backmarket.com: courtlistener 0, propublica 48
barnesandnoble.com: courtlistener 0, propublica 49
bestbuy.com: courtlistener 4, propublica 45
betterworldbooks.com: courtlistener 0, propublica 42
bhphotovideo.com: courtlistener 0, propublica 40
blkgrn.com: courtlistener 0, propublica 0
bobsredmill.com: courtlistener 0, propublica 7
bookshop.org: courtlistener 0, propublica 0
chewy.com: courtlistener 2, propublica 1
christydawn.com: courtlistener 0, propublica 4
costco.com: courtlistener 2, propublica 30
credobeauty.com: courtlistener 0, propublica 0
depop.com: courtlistener 0, propublica 0
earthhero.com: courtlistener 0, propublica 0
ebay.com: courtlistener 25, propublica 26
ecoroots.us: courtlistener 0, propublica 0
eileenfisher.com: courtlistener 1, propublica 1
equalexchange.coop: courtlistener 0, propublica 48
etsy.com: courtlistener 0, propublica 3
girlfriend.com: courtlistener 0, propublica 47
grove.co: courtlistener 0, propublica 13
kobo.com: courtlistener 2, propublica 1
kotn.com: courtlistener 0, propublica 0
libro.fm: courtlistener 0, propublica 0
lovegrown.com: courtlistener 0, propublica 0
madetrade.com: courtlistener 0, propublica 47
mightly.com: courtlistener 0, propublica 39
misfitsmarket.com: courtlistener 0, propublica 2
newegg.com: courtlistener 1, propublica 0
overstock.com: courtlistener 0, propublica 5
packagefreeshop.com: courtlistener 0, propublica 47
patagonia.com: courtlistener 8, propublica 1
poshmark.com: courtlistener 0, propublica 0
powells.com: courtlistener 0, propublica 23
publicgoods.com: courtlistener 0, propublica 40
shop.app: courtlistener 46, propublica 49
target.com: courtlistener 19440, propublica 44
tenthousandvillages.com: courtlistener 0, propublica 46
tentree.com: courtlistener 0, propublica 0
thedetoxmarket.com: courtlistener 0, propublica 6
thredup.com: courtlistener 0, propublica 0
thrivemarket.com: courtlistener 0, propublica 49
uncommongoods.com: courtlistener 0, propublica 48
walmart.com: courtlistener 20, propublica 48
wearpact.com: courtlistener 1, propublica 48
worldofbooks.com: courtlistener 0, propublica 40
